,0,1,2
0,98,651,0
2,1073,1620,0
3,167,633,0
4,4,640,0
5,796,1500,1
6,1086,1696,0
8,1114,1557,0
9,1041,1531,0
10,123,682,0
11,10,501,0
12,79,670,0
13,1189,1654,0
14,498,1588,1
15,1054,1585,0
17,12,577,0
18,168,539,0
19,1140,1516,0
21,1160,1691,0
23,55,673,0
24,436,1868,1
25,88,614,0
28,1054,1633,0
30,79,564,0
35,1094,1686,0
36,1013,1641,0
38,58,579,0
39,450,1554,1
41,161,534,0
42,682,1676,1
43,346,1510,1
44,722,1656,1
46,1069,1618,0
47,135,554,0
48,162,603,0
50,1133,1561,0
52,1071,1527,0
55,87,635,0
56,1092,1687,0
57,189,522,0
58,792,1628,1
59,169,518,0
60,118,563,0
61,1042,1651,0
71,1181,1560,0
73,1056,1687,0
76,1107,1530,0
78,380,1784,1
80,372,1694,1
82,1083,1678,0
83,155,624,0
84,470,1626,1
85,68,620,0
86,158,575,0
87,792,1610,1
88,1049,1634,0
89,64,514,0
90,766,1618,1
91,22,554,0
92,122,641,0
93,766,1530,1
94,494,1530,1
95,49,615,0
96,1035,1529,0
97,490,1632,1
100,1195,1695,0
101,464,1542,1
102,159,689,0
105,1127,1570,0
106,170,642,0
107,344,1544,1
112,41,595,0
113,442,1438,1
114,48,574,0
115,1016,1614,0
117,1124,1586,0
118,1066,1508,0
119,1105,1514,0
120,32,558,0
121,127,627,0
122,1069,1625,0
124,406,1628,1
126,192,647,0
127,118,679,0
128,1006,1613,0
129,33,661,0
130,1036,1535,0
132,1187,1642,0
133,73,612,0
134,1146,1586,0
135,1198,1606,0
137,1147,1530,0
138,1069,1675,0
139,95,628,0
140,81,590,0
142,1119,1637,0
143,1144,1526,0
147,374,1434,1
150,1070,1503,0
151,1136,1564,0
152,163,618,0
153,85,558,0
157,1074,1640,0
158,74,627,0
160,750,1666,1
162,32,520,0
163,174,664,0
164,1182,1621,0
165,446,1978,1
166,1193,1666,0
167,736,1690,1
168,1060,1534,0
169,1060,1599,0
170,196,610,0
171,1006,1514,0
172,71,551,0
176,1120,1633,0
177,24,672,0
179,140,648,0
180,580,1916,1
183,1001,1501,0
184,150,699,0
185,730,1538,1
187,1117,1669,0
188,460,1676,1
192,164,535,0
194,150,605,0
195,1180,1512,0
197,1129,1629,0
198,1125,1647,0
199,1105,1512,0
200,93,526,0
202,1016,1538,0
204,704,1668,1
205,1164,1508,0
206,460,1688,1
207,1092,1560,0
209,13,570,0
211,356,1650,1
212,1092,1613,0
213,144,636,0
214,15,653,0
215,308,1528,1
216,147,667,0
218,1026,1544,0
219,1167,1532,0
220,364,1646,1
221,1163,1631,0
222,1050,1520,0
223,1030,1551,0
226,1062,1540,0
228,175,613,0
230,1144,1500,0
231,798,1550,1
232,726,1438,1
233,26,506,0
235,4,570,0
238,33,633,0
241,70,609,0
243,1065,1665,0
244,774,1460,1
245,1165,1600,0
246,1192,1596,0
247,314,1602,1
251,1178,1613,0
252,1004,1685,0
253,1119,1609,0
255,46,666,0
256,1146,1626,0
257,1125,1621,0
258,380,1774,1
259,1118,1672,0
260,30,546,0
261,1109,1520,0
264,81,685,0
265,1055,1568,0
266,4,593,0
267,52,602,0
268,356,1508,1
270,764,1536,1
271,794,1572,1
272,74,565,0
274,498,1568,1
276,131,554,0
278,710,1682,1
279,1083,1602,0
282,420,1970,1
285,1056,1506,0
286,75,565,0
287,117,575,0
288,64,521,0
289,126,668,0
290,468,1620,1
293,108,684,0
296,720,1586,1
297,114,688,0
298,682,1964,1
300,1086,1653,0
302,306,1694,1
304,1114,1672,0
306,730,1510,1
307,484,1440,1
308,480,1586,1
310,103,596,0
311,734,1590,1
312,1045,1693,0
314,790,1486,1
317,1114,1652,0
318,121,670,0
320,750,1644,1
322,1181,1661,0
325,69,502,0
326,92,554,0
327,1197,1541,0
328,1082,1621,0
329,155,515,0
330,358,1652,1
332,612,1494,1
333,77,544,0
334,1126,1697,0
336,14,577,0
338,702,1646,1
339,1060,1520,0
341,76,597,0
342,768,1624,1
343,1138,1577,0
344,1110,1674,0
345,191,593,0
348,1012,1683,0
350,119,660,0
351,1136,1563,0
352,51,604,0
353,2,506,0
354,792,1516,1
355,17,654,0
356,35,676,0
359,1164,1569,0
361,122,575,0
362,338,1794,1
367,80,652,0
368,123,604,0
369,127,608,0
372,150,520,0
373,1022,1532,0
374,37,518,0
377,790,1632,1
378,118,524,0
379,734,1438,1
380,404,1556,1
381,342,1612,1
382,200,597,0
383,48,699,0
385,1103,1584,0
387,414,1870,1
388,1115,1613,0
389,169,562,0
390,1101,1670,0
391,127,603,0
393,470,1650,1
395,147,608,0
396,63,574,0
397,1112,1640,0
398,103,694,0
399,15,552,0
400,181,570,0
401,140,568,0
402,164,565,0
403,197,621,0
404,492,1672,1
405,165,615,0
406,618,1474,1
408,1086,1623,0
409,105,687,0
410,10,665,0
411,454,1738,1
412,380,1884,1
413,394,1874,1
414,148,510,0
415,406,1694,1
416,1164,1698,0
419,1145,1674,0
420,1121,1580,0
423,9,515,0
424,92,535,0
425,179,644,0
426,198,584,0
427,126,593,0
429,195,659,0
432,196,558,0
433,610,1532,1
435,1102,1545,0
436,53,629,0
437,1145,1545,0
438,1137,1520,0
440,1087,1678,0
441,1195,1648,0
442,86,673,0
445,1087,1654,0
446,1109,1561,0
447,154,519,0
448,1124,1645,0
450,752,1712,1
451,442,1566,1
452,1109,1597,0
453,376,1880,1
457,51,623,0
459,1038,1693,0
462,179,640,0
463,1032,1664,0
464,488,1582,1
466,106,571,0
467,117,524,0
468,1091,1608,0
469,158,621,0
470,1142,1504,0
471,129,516,0
472,1185,1659,0
473,1176,1560,0
474,1014,1654,0
477,191,657,0
479,1040,1693,0
480,1018,1698,0
481,136,676,0
482,10,641,0
483,1015,1525,0
485,496,1612,1
486,84,618,0
487,750,1564,1
488,1068,1542,0
489,418,1608,1
490,352,1500,1
491,26,537,0
492,29,623,0
493,432,1520,1
495,5,678,0
496,87,659,0
497,20,590,0
499,1116,1607,0
501,1066,1693,0
502,1139,1609,0
503,168,518,0
504,1140,1592,0
505,1033,1648,0
507,80,663,0
508,1026,1618,0
510,1112,1633,0
511,73,549,0
512,79,657,0
514,132,669,0
517,62,631,0
519,1027,1567,0
520,380,1904,1
521,140,594,0
522,167,599,0
523,402,1628,1
524,1160,1504,0
525,516,1418,1
526,152,661,0
527,1060,1641,0
529,143,519,0
531,82,608,0
532,1190,1592,0
533,1144,1540,0
535,1128,1612,0
539,138,552,0
542,129,657,0
545,1052,1509,0
546,438,1532,1
547,1041,1660,0
549,93,686,0
550,482,1556,1
552,102,537,0
553,154,543,0
554,89,689,0
557,87,672,0
558,312,1590,1
559,1111,1650,0
560,157,699,0
561,1027,1643,0
563,1054,1504,0
565,1023,1601,0
566,95,636,0
567,336,1702,1
568,468,1694,1
569,710,1680,1
574,101,600,0
575,112,639,0
576,1179,1659,0
577,434,1578,1
578,3,581,0
579,157,568,0
580,326,1708,1
581,1096,1618,0
582,160,518,0
583,1125,1523,0
584,392,1626,1
585,1115,1700,0
586,1193,1617,0
588,618,1558,1
589,49,677,0
593,57,680,0
594,1197,1657,0
595,29,533,0
596,138,698,0
597,1171,1533,0
598,13,513,0
599,97,565,0
600,1102,1607,0
601,412,1568,1
602,1119,1561,0
604,1116,1533,0
605,115,528,0
606,174,554,0
608,1028,1559,0
612,197,660,0
615,57,595,0
618,746,1602,1
619,117,687,0
621,400,1506,1
626,1004,1627,0
628,444,1738,1
629,406,1556,1
632,1098,1599,0
633,132,629,0
634,159,568,0
635,86,566,0
637,1059,1521,0
