,ID,text,clean_text
0,57,"Every person has a right to profess, practice and propagate the religion he or she believes in. Every religious group or sect is free to manage its religious affairs. A right to propagate one s religion, however, does not mean that a person has right to compel another person to convert into his religion by means of force, fraud, inducement or allurement. Of course, a person is free to change religion on his or her own will. Freedom to practice religion does not mean that a person can do whatever he wants in the name of religion. For example, one cannot sacrifice animals or human beings as offerings to supernatural forces or gods. Religious practices which treat women as inferior or those that infringe women s freedom are not allowed. For example, one cannot force a widowed woman to shave head or wear white clothes.",person profess practice propagate religion he she belief religious group sect free manage religious affair propagate religion person compel person convert his religion force fraud inducement allurement person free change religion his her freedom practice religion person he religion sacrifice animal human being offering supernatural force god religious practice treat woman inferior infringe woman freedom allowed force widowed woman shave head wear white clothes
1,1603,"That is , the pigment particles mix with the vehicle in such a way that the particles are distributed in equal distances through out the whole liquid .",pigment particle mix vehicle particle distributed equal distance liquid
2,755,"The Prime Minister of India is the leader of the ruling party in the Lok Sabha. From the MPs who belong to her party, the Prime Minister selects ministers to work with her to implement decisions. These ministers then take charge of different areas of government functioning like health, education, finance etc.",prime minister india leader ruling party lok sabha mp belong her party prime minister selects minister work her implement decision minister charge area government functioning health education finance
3,1636,The water you drink now-a-days is not safe .,water drink nowadays safe
4,828,"I , along with my mother , brothers and sisters brought small bamboos .",mother brother sister brought small bamboo
5,1506,"School textbooks glorified the French and justified colonial rule. The Vietnamese were represented as primitive and backward, capable of manual labour but not of intellectual reflection; they could work in the fields but not rule themselves; they were skilled copyists but not creative. School children were told that only French rule could ensure peace in Vietnam: Since the establishment of French rule the Vietnamese peasant no longer lives in constant terror of pirates Calm is complete, and the peasant can work with a good heart.",school textbook glorified french justified colonial rule vietnamese represented primitive backward capable manual labour intellectual reflection work field rule skilled copyist creative school child told french rule ensure peace vietnam establishment french rule vietnamese peasant longer life constant terror pirate calm complete peasant work good heart
6,1114,"Jordan has got roads , railways and airways .",jordan road railway airway
7,1217,"The velocity is given by the gradient of a position vs. time graph. During the first seconds, this is",velocity gradient position time graph second
8,1096,But the average percentage of oxygen and silicon in rocks is 73 . 07 %,average percentage oxygen silicon rock
9,895,In 1969 man first landed on the moon by rocket .,man landed moon rocket
10,6,Through the years men developed a variety of textile materials and brought new ideas in clothing .,year men developed variety textile material brought idea clothing
11,149,"In fine , it is the duty of a housewife to express kindness towards the servants by measuring their physical ability and psychological attitude .",fine duty housewife express kindness servant measuring physical ability psychological attitude
12,73,The runner should keep his neck and face relaxed while running .,runner his neck face relaxed running
13,151,Therefore the new plant grown from this seed is not identical with the mother plant .,plant grown seed identical mother plant
14,1092,We should never wring the woollen clothes to take out the water .,wring woollen clothes water
15,1331,Only clothes provide civilised people to move freely by covering their modesty .,clothes provide civilised people freely covering modesty
16,1883,"The organ is working with the aim to respond in cyclone through maintaining communication , enhancing preparedness and raising public awareness .",organ working aim respond cyclone maintaining communication enhancing preparedness raising public awareness
17,680,"Fish , Frog , Man .",fish frog man
18,275,Why did early man domesticate only some of the animals?,early man domesticate animal
19,308,"To follow the home management process for fulfilling the demands of the family A housewife is responsible for executing , controlling , implementing and evaluating all the household activities and for performing all these tasks appropriately , a proper planning is required at first .",follow management process fulfilling demand family housewife responsible executing controlling implementing evaluating household activity performing task appropriately proper planning required
20,675,Nutrition is the subject regarding man ' s health and food .,nutrition subject man health food
21,1847,"The density of population is very high in the districts of Dhaka , Comilla etc . whereas it is very low in Chittagong Hill Tracts , Bandarban etc .",density population high district dhaka comilla low chittagong hill tract bandarban
22,893,"You know that a brand new bicycle has shiny handlebar and wheel rims. However, if these are accidentally scratched, the shiny coating comes off revealing a not so shiny surface beneath. You might have also seen women using ornaments, which appear to be made of gold. However, with repeated use, the gold coating wears off, revealing silver or some other metal beneath.",brand bicycle shiny handlebar wheel rim accidentally scratched shiny coating revealing shiny surface beneath woman ornament gold repeated gold coating wear revealing silver metal beneath
23,300,So society consists of men .,society consists men
24,1437,There were steps leading to the pits .,step leading pit
25,112,"Galileo was also a remarkable craftsman. He developed a series of telescopes whose optical performance was much better than that of other telescopes available during those days. Around , he designed the first pendulum clock. In his book Starry Messenger on his astronomical discoveries, Galileo claimed to have seen mountains on the moon, the milky way made up of tiny stars, and four small bodies orbiting Jupiter. In his books Discourse on Floating Bodies and Letters on the Sunspots , he disclosed his observations of sunspots.",galileo remarkable craftsman he developed series telescope optical performance telescope day he designed pendulum clock his book starry messenger his astronomical discovery galileo claimed mountain moon milky tiny star small body orbiting jupiter his book discourse floating body letter sunspot he disclosed his observation sunspot
26,593,How do you know whether the speaker is a boy or a girl?,speaker boy girl
27,1568,Soil Soil is very important for living beings .,soil soil living being
28,592,"If one has the habit of reading books or news paper in the bed , he should keep a table lamp with a shade .",habit reading book news paper bed he table lamp shade
29,1884,They help in blood clotting and prevent bleeding .,blood clotting prevent bleeding
30,388,Usually the elder sisters take care of their younger brothers and sisters .,elder sister care younger brother sister
31,1581,What is the working capital required by the farmer using modern farming methods?,working capital required farmer modern farming method
32,464,"Digestive Glands : In man salivary glands , liver and Panereas work .",digestive gland man salivary gland liver panereas work
33,521,We have studied about the social life of man .,studied social life man
34,1046,This means there are no ions to conduct electricity .,ion conduct electricity
35,467,"If the lines are nearer to the face of the person who wears it vertically , he / she will seem to have a long facial appearance .",line nearer face person wear vertically he she long facial appearance
36,1295,"It has roots , buds , nodes and internodes .",root bud node internode
37,1343,convection: transfer of energy through a liquid or gas by the movement of liquid or gas particles,convection transfer energy liquid gas movement liquid gas particle
38,1387,This observation explains that plants also respond to stimulus. Some plants bloom in the morning and some at night. These respond to sunlight. When winter comes many trees shed their leaves. They respond to change in temperature.,observation explains plant respond stimulus plant bloom morning night respond sunlight winter tree leaf respond change temperature
39,1225,Which are the fuels that are used in your house for cook - ing ?,fuel house cook ing
40,101,So it is his responsibility to maintain it .,his responsibility maintain
41,1967,The natural increase of population is the difference between birth rates and death rates.,natural increase population difference birth rate death rate
42,1675,"Her teacher Matilda Lyngdoh responds to her questions, as other classmates join the discussion:",her teacher matilda lyngdoh responds her question classmate join discussion
43,325,"The eighteenth century witnessed the emergence of social groups, termed the middle class, who earned their wealth through an expanding overseas trade and from the manufacture of goods such as woollen and silk textiles that were either exported or bought by the richer members of society. In addition to merchants and manufacturers, the third estate included professions such as lawyers or administrative officials. All of these were educated and believed that no group in society should be privileged by birth. Rather, a person s social position must depend on his merit. These ideas envisaging a society based on freedom and equal laws and opportunities for all, were put forward by philosophers such as John Locke and Jean Jacques Rousseau. In his Two Treatises of Government, Locke sought to refute the doctrine of the divine and absolute right of the monarch. Rousseau carried the idea forward, proposing a form of government based on a social contract between people and their representatives. In The Spirit of the Laws, Montesquieu proposed a division of power within the government between the legislative, the executive and the judiciary. This model of government was put into force in the USA, after the thirteen colonies declared their independence from Britain. The American constitution and its guarantee of individual rights was an important example for political thinkers in France.",eighteenth century witnessed emergence social group termed middle class earned wealth expanding overseas trade manufacture good woollen silk textile exported bought richer member society addition merchant manufacturer estate included profession lawyer administrative official educated believed group society privileged birth person social position depend his merit idea envisaging society based freedom equal law opportunity forward philosopher john locke jean jacques rousseau his treatise government locke sought refute doctrine divine absolute monarch rousseau carried idea forward proposing form government based social contract people representative spirit law montesquieu proposed division power government legislative executive judiciary model government force usa thirteen colony declared independence britain american constitution guarantee individual right political thinker france
44,331,At what ages do the growth spurts take place for boys and girls?,age growth spurt place boy girl
45,949,Nobody should keep paper with him for long time .,paper him long time
46,1752,A tissue is a group of cells with similar structure and function .,tissue group cell structure function
47,1182,What effect did the experiment with sprouted seeds have on the lime water?,experiment sprouted seed lime water
48,784,Table .: RDA for males and females between years and years.,table rda male female year year
49,1909,"It is , therefore , known as acceleration due to gravity .",acceleration gravity
50,1643,. An electric heater is rated W. How much energy does it use in hours?,electric heater rated energy hour
51,865,"If there is a good understanding between them , the salesmen will provide the customers with opportunity to select his required item .",good understanding salesman provide customer opportunity select his required item
52,541,Some time it is washed by laundry man .,time washed laundry man
53,34,"Men of letters and artists , too , began to doubt the essential tenets of the Enlightenment .",men letter artist began doubt essential tenet enlightenment
54,15,"With the growth of industrialization , technology was pressed into in the service of the common man in Europe .",growth industrialization technology pressed service common man europe
55,1156,Running using bipedal position and turning around the pole .,running bipedal position turning pole
56,1590,. Heat energy is converted into other forms of energy. Give some examples.,heat energy converted form energy example
57,701,"Eye Donation , a Noble Deed The cornea of a person can be donated upto six hours after his death .",eye donation noble deed cornea person donated upto hour his death
58,832,". No woman is an exception; she is accused, arrested, and detained in cases determined by law. Women, like men, obey this rigorous law.",woman exception she accused arrested detained case determined law woman men obey rigorous law
59,359,After winning the toss the captain of the team should inform the umpires if his team chooses to chase or dodge .,winning toss captain team inform umpire his team chooses chase dodge
60,1202,Employer is also called the owner and the employee is called the worker .,employer called owner employee called worker
61,790,"Social Biology Social biology is the study of how man lives with other men , with animals and plants and how he affects each of these .",social biology social biology study man life men animal plant he
62,1162,To make a plan how to perform all activities there .,plan perform activity
63,683,"Therefore , women children ( especially the girl child ) and old people are poorest of the poor .",woman child girl child people poorest poor
64,1876,In root or shoot apex there are apical meristems .,root shoot apex apical meristem
65,1683,If your answers are Yes for most of the above questions it reflects that you are in adolescence phase.,answer question reflects adolescence phase
66,1117,Consoling if we lose in the game .,consoling lose game
67,1412,The habitat of camel is a ) forest habitat c ) aquatic habitat d ) grass land habitat b ) desert habitat II .,habitat camel forest habitat aquatic habitat grass land habitat desert habitat
68,1778,"They worshipped objects of nature like the Moon , the Stars and lightning , and prayed to other natural phenomena .",worshipped object nature moon star lightning prayed natural phenomenon
69,1050,"There are alternative sources of energy besides coal, to drive turbines, such as wind, hydropower, sun-heated steam, nuclear power and tidal energy.",alternative source energy coal drive turbine wind hydropower sunheated steam nuclear power tidal energy
70,10,The runner should maintain his body balance .,runner maintain his body balance
71,1434,"We have been looking at contact forces, which include friction, normal forces, compression and tension. We are now going to look at the forces that act between bodies which do not touch.",contact force include friction normal force compression tension force body touch
72,1533,"In the given astronaut 's picture , stick your photographic face and enjoy seeing you as an astronaut .",astronaut picture stick photographic face enjoy astronaut
73,1664,. The Atlantic Ocean has a deep impact on the climate of Europe as well as on the life and livelihood of the people of Europe. Collect relevant information and write an essay on the theme. AS,atlantic ocean deep impact climate europe life livelihood people europe collect relevant write essay theme
